open_time,open,high,low,close,volume
1777075200000,4696.13,4699.07,4696.12,4699.06,58.5927
1777089600000,4699.07,4700.5,4694.5,4696.59,104.2057
1777104000000,4696.6,4702.8,4696.59,4700.57,91.0499
1777118400000,4700.56,4700.57,4697.75,4697.82,75.723
1777132800000,4697.82,4697.83,4692.26,4695.01,204.306
1777147200000,4695.0,4696.06,4689.01,4689.63,122.0031
1777161600000,4689.62,4692.72,4688.03,4692.05,85.4959
1777176000000,4692.06,4694.82,4690.0,4692.21,141.5477
1777190400000,4692.2,4696.31,4692.08,4696.3,146.1134
1777204800000,4696.3,4705.11,4696.3,4701.65,148.3127
1777219200000,4701.66,4710.0,4699.48,4706.72,384.4701
1777233600000,4706.71,4709.33,4668.01,4673.25,634.6963
1777248000000,4673.24,4717.53,4665.48,4713.0,402.5697
1777262400000,4713.0,4716.97,4695.68,4700.94,448.719
1777276800000,4700.61,4701.89,4689.38,4692.96,188.5505
1777291200000,4692.96,4700.0,4658.44,4660.53,543.3406
1777305600000,4660.53,4675.8,4658.96,4672.7,387.1696
1777320000000,4672.69,4685.3,4669.56,4683.83,484.9891
1777334400000,4683.64,4690.49,4659.0,4662.58,1029.7154
1777348800000,4662.59,4662.59,4609.72,4626.46,1662.8201
1777363200000,4626.5,4628.82,4552.2,4559.51,1391.8361
1777377600000,4559.52,4594.46,4552.08,4581.57,1537.7536
1777392000000,4581.78,4596.24,4575.06,4591.0,375.1502
1777406400000,4591.4,4594.64,4582.98,4589.54,256.9675
1777420800000,4589.53,4604.08,4570.53,4588.26,408.3519
1777435200000,4588.25,4598.22,4562.89,4562.96,791.9198
1777449600000,4562.96,4573.16,4547.26,4557.56,730.226
1777464000000,4557.06,4562.44,4508.14,4542.91,1683.9629
1777478400000,4543.21,4559.41,4517.38,4543.08,769.1749
1777492800000,4542.97,4556.01,4536.61,4555.97,357.8547
1777507200000,4556.01,4576.19,4551.62,4551.92,345.5741
1777521600000,4551.64,4597.31,4535.91,4590.8,481.6212
1777536000000,4590.81,4641.49,4590.81,4622.56,863.5736
1777550400000,4623.05,4637.94,4603.12,4608.54,564.5784
1777564800000,4608.53,4620.0,4598.23,4609.21,339.9382
1777579200000,4609.08,4624.5,4609.04,4618.2,214.8984
1777593600000,4618.0,4626.05,4605.59,4617.6,200.9679
1777608000000,4617.41,4619.0,4571.42,4572.49,319.1516
1777622400000,4572.66,4576.99,4557.01,4576.54,608.0142
1777636800000,4576.53,4652.13,4572.87,4631.22,1319.8554
1777651200000,4631.65,4638.0,4600.91,4602.69,468.9721
1777665600000,4602.68,4610.29,4600.0,4603.82,152.9991
1777680000000,4603.83,4605.0,4601.19,4604.53,37.4694
1777694400000,4604.54,4604.54,4599.91,4602.0,119.926
1777708800000,4602.0,4604.26,4601.12,4602.75,137.9252
1777723200000,4602.75,4605.0,4601.69,4602.01,66.7002
1777737600000,4602.01,4602.35,4597.07,4598.62,201.1222
1777752000000,4598.63,4602.0,4595.91,4597.94,114.7794
1777766400000,4597.94,4599.5,4595.79,4599.4,116.2088
1777780800000,4599.4,4603.0,4599.39,4602.7,135.1378
1777795200000,4602.7,4612.96,4602.24,4612.2,201.3802
1777809600000,4612.2,4618.88,4612.08,4616.4,154.2315
1777824000000,4616.4,4621.77,4612.32,4620.0,207.4639
1777838400000,4620.01,4638.74,4605.18,4605.79,824.7231
1777852800000,4605.79,4611.42,4587.0,4609.8,593.8394
1777867200000,4609.6,4609.6,4573.73,4573.74,580.2514
1777881600000,4573.74,4579.92,4522.62,4556.89,1169.5192
1777896000000,4556.89,4575.69,4511.14,4519.08,1334.4535
1777910400000,4518.91,4529.08,4500.55,4515.84,1462.7339
1777924800000,4515.68,4524.24,4509.13,4516.67,785.5898
1777939200000,4516.68,4541.91,4511.65,4530.54,336.0293
1777953600000,4530.53,4552.48,4524.46,4540.88,568.9544
1777968000000,4540.89,4557.5,4534.75,4555.31,454.2804
1777982400000,4555.32,4578.25,4548.87,4560.93,970.2364
1777996800000,4560.76,4560.76,4544.79,4546.99,374.1589
1778011200000,4546.66,4585.92,4538.69,4584.31,854.8464
1778025600000,4584.31,4640.98,4578.29,4632.92,1256.1666
1778040000000,4633.01,4669.55,4633.01,4669.55,1438.7157
1778054400000,4669.55,4712.39,4661.59,4682.57,2029.528
1778068800000,4682.57,4704.66,4652.31,4676.88,1528.2177
1778083200000,4676.87,4688.28,4667.2,4680.72,427.9632
1778097600000,4681.08,4687.77,4674.7,4687.19,441.6364
1778112000000,4687.2,4708.8,4674.36,4686.96,786.8506
1778126400000,4686.96,4736.83,4681.45,4731.51,2017.6253
1778140800000,4731.5,4748.06,4710.07,4733.25,2938.4801
1778155200000,4733.26,4756.0,4717.17,4719.67,3347.6353
1778169600000,4719.66,4720.69,4681.81,4698.35,1639.3348
1778184000000,4698.25,4713.56,4674.61,4696.64,1613.0184
1778198400000,4697.0,4723.5,4687.75,4712.01,485.93
1778212800000,4711.89,4724.98,4691.25,4700.02,683.374
1778227200000,4700.68,4719.75,4699.0,4708.8,1046.9682
1778241600000,4708.45,4741.2,4695.0,4700.82,1035.7301
1778256000000,4700.82,4719.19,4699.8,4717.07,616.0388
1778270400000,4717.07,4717.69,4705.86,4706.72,666.2654
1778284800000,4706.72,4712.75,4704.97,4706.24,195.2838
1778299200000,4706.25,4709.5,4705.01,4705.88,92.2829
1778313600000,4705.89,4706.09,4703.68,4704.45,88.8785
1778328000000,4704.45,4706.1,4702.96,4704.84,145.7866
1778342400000,4704.84,4712.0,4704.83,4711.99,127.7404
1778356800000,4711.99,4716.38,4710.38,4712.54,123.7934
1778371200000,4712.54,4717.97,4707.93,4716.23,245.6258
1778385600000,4716.23,4716.35,4710.0,4710.0,95.3761
1778400000000,4710.01,4716.73,4707.45,4716.66,111.2246
1778414400000,4716.45,4722.5,4714.98,4721.93,218.726
1778428800000,4721.94,4724.5,4716.5,4717.0,324.747
1778443200000,4717.01,4717.43,4676.0,4686.76,1396.6969
1778457600000,4687.19,4699.65,4666.44,4673.82,1199.8905
1778472000000,4673.98,4675.42,4645.29,4663.94,930.4352
1778486400000,4663.95,4674.23,4648.4,4670.45,360.6674
1778500800000,4670.46,4740.19,4664.7,4723.45,3248.048
1778515200000,4723.56,4725.87,4701.11,4723.74,268.02
1778529600000,4723.75,4758.66,4718.17,4757.62,674.1649
1778544000000,4757.58,4762.5,4709.09,4710.35,741.3639
1778558400000,4710.62,4719.78,4679.0,4692.25,742.9152
1778572800000,4692.25,4701.15,4680.01,4699.98,336.0843
1778587200000,4699.81,4719.97,4638.01,4663.76,3481.27
1778601600000,4663.75,4712.99,4662.03,4712.32,778.8699
1778616000000,4712.33,4717.79,4705.1,4712.4,384.1706
1778630400000,4712.18,4721.83,4684.55,4691.94,393.4048
1778644800000,4692.16,4709.12,4690.0,4698.33,386.5364
1778659200000,4698.26,4704.3,4682.22,4694.75,378.855
1778673600000,4694.36,4696.78,4666.08,4689.42,1634.476
1778688000000,4689.42,4702.99,4669.99,4680.8,1043.7936
1778702400000,4680.8,4694.5,4678.72,4689.0,256.8265
1778716800000,4689.19,4698.33,4667.06,4668.0,269.7817
1778731200000,4668.0,4710.0,4662.86,4685.58,528.4621
1778745600000,4685.41,4698.17,4681.98,4688.64,289.144
1778760000000,4688.46,4701.87,4661.66,4680.04,645.5202
1778774400000,4680.96,4681.24,4651.07,4651.97,650.2885
1778788800000,4651.85,4661.55,4643.01,4650.74,603.4296
1778803200000,4650.41,4654.8,4605.18,4613.22,1352.619
1778817600000,4612.63,4618.08,4557.5,4573.14,1595.5659
1778832000000,4573.25,4575.43,4536.0,4556.76,1910.7035
1778846400000,4556.25,4568.42,4518.22,4544.8,1857.3892
1778860800000,4545.03,4567.56,4536.05,4552.32,302.4466
1778875200000,4552.33,4552.33,4539.13,4543.1,290.2642
1778889600000,4543.11,4545.72,4541.51,4543.83,85.5513
1778904000000,4543.84,4547.03,4526.23,4536.91,329.3719
1778918400000,4536.91,4537.78,4514.99,4526.31,2363.3234
1778932800000,4526.31,4537.5,4525.08,4535.0,224.7758
1778947200000,4535.01,4539.73,4533.63,4536.41,124.1223
1778961600000,4536.41,4539.21,4532.52,4537.0,92.4285
1778976000000,4537.01,4538.69,4530.99,4534.92,130.9272
1778990400000,4534.92,4534.92,4526.0,4531.51,99.7055
1779004800000,4531.51,4538.4,4531.5,4537.81,130.736
1779019200000,4537.81,4543.75,4536.39,4541.5,215.3954
1779033600000,4541.51,4542.27,4528.67,4530.31,184.6565
1779048000000,4530.3,4554.99,4527.3,4535.6,890.4431
1779062400000,4535.6,4544.07,4480.02,4539.91,1937.2442
1779076800000,4539.91,4555.0,4528.21,4544.11,499.6849
1779091200000,4544.12,4564.2,4528.67,4548.96,773.9299
1779105600000,4548.96,4580.0,4529.42,4540.47,1573.3943
1779120000000,4540.7,4562.47,4534.01,4556.39,489.21
1779134400000,4556.39,4584.0,4556.39,4577.41,398.3426
1779148800000,4577.42,4584.41,4541.26,4542.85,317.0308
1779163200000,4542.63,4555.55,4529.53,4553.93,394.9957
1779177600000,4553.93,4555.61,4526.17,4531.52,388.1059
1779192000000,4531.52,4546.14,4470.0,4510.99,1939.4886
1779206400000,4511.0,4514.12,4486.45,4487.24,284.2229
